customer_feedback,tenure,MonthlyCharges,Churn
Flexible contract terms suit my needs perfectly.,72,111.9,0
The tech support team is quick and professional.,46,24.9,0
Reliable monthly charges and no unexpected fees.,63,83.5,0
Monthly charges are reasonable for the service.,30,84.3,0
Great service with no interruptions during my tenure.,1,45.6,0
Paperless billing fails to capture accurate details.,12,61.65,1
The tech support team is quick and professional.,16,54.85,0
Enjoying affordable rates and stable monthly charges.,4,65.55,0
Clear billing process with no surprise charges.,51,90.35,0
Enjoying good service quality over the years.,65,20.4,0
Paperless billing is convenient and eco-friendly.,16,74.55,0
Tenure discounts made staying with this provider easy.,2,19.95,0
Paperless billing is convenient and eco-friendly.,66,74.25,0
Good monthly rates and easy-to-understand billing.,46,108.65,0
Easy setup and reliable network with no drops.,32,109.55,0
Flexible contracts that fit my lifestyle.,72,86.65,0
Happy with the consistent service over the years.,38,81.0,0
Flexible contracts that fit my lifestyle.,51,47.85,0
"Helpful tech support, available when needed.",72,114.55,0
Frequent contract changes without notice.,65,105.25,1
Dependents face frequent network drops.,9,29.95,1
Monthly charges have unexpected increases frequently.,9,65.0,1
Smooth billing system with paperless convenience.,66,20.55,0
Enjoying affordable rates and stable monthly charges.,44,109.8,0
Reliable monthly charges and no unexpected fees.,50,69.5,0
Easy setup and reliable network with no drops.,15,48.85,0
"Helpful tech support, available when needed.",8,25.25,0
Smooth billing system with paperless convenience.,66,102.85,0
Easy setup and reliable network with no drops.,57,87.55,0
Partnered plan has been cost-effective and reliable.,7,78.55,0
Tenure discounts made staying with this provider easy.,10,34.55,0
Flexible contracts that fit my lifestyle.,62,92.05,0
Happy with the consistent service over the years.,40,85.05,0
Tenure discounts make the service worth it.,20,19.7,0
Monthly charges feel high for the service provided.,7,20.0,1
Good monthly rates and easy-to-understand billing.,25,95.15,0
I appreciate the flexible contract options.,23,84.25,0
I appreciate the flexible contract options.,66,104.6,0
Tenure discounts made staying with this provider easy.,72,111.65,0
Tech support response times are too slow.,49,90.05,1
Technical support often leaves issues unresolved.,43,110.75,1
The partner-friendly plans fit our budget well.,46,55.0,0
Satisfied with the support offered by tech specialists.,72,89.85,0
Clear billing process with no surprise charges.,10,20.35,0
Tech support has been quick and effective every time.,40,54.55,0
Dependents complain of frequent disconnections.,65,105.5,1
Billing is seamless with paperless billing.,31,99.45,0
Tenure discounts made staying with this provider easy.,68,70.9,0
Partnered plan lacks sufficient network stability.,56,104.55,1
Partnered plan does not seem cost-effective anymore.,10,85.25,1
Partner and dependents also satisfied with the plan.,68,25.4,0
Partnered plan lacks sufficient network stability.,43,56.15,1
Frequent contract changes without notice.,1,89.55,1
The support team made the setup process smooth.,49,89.85,0
The tech support team is quick and professional.,15,25.25,0
Online security lags compared to competitors.,20,94.55,1
High charges without any added benefits.,1,45.7,1
Online security features meet my needs well.,50,69.65,0
Partnered plan does not seem cost-effective anymore.,2,89.5,1
Tech support has been quick and effective every time.,24,70.0,0
Frequent network issues during peak usage.,3,69.55,1
Paperless billing fails to capture accurate details.,1,74.6,1
The support team made the setup process smooth.,35,20.1,0
The partner-friendly plans fit our budget well.,17,24.8,0
Partnered plan lacks sufficient network stability.,8,19.65,1
Billing is seamless with paperless billing.,10,95.1,0
Flexible contract terms suit my needs perfectly.,68,88.85,0
Smooth billing system with paperless convenience.,45,78.8,0
Dependents report frequent service interruptions.,2,19.85,1
Paperless billing is convenient and eco-friendly.,37,20.35,0
Billing statements are often unclear or incorrect.,4,24.25,1
Enjoying affordable rates and stable monthly charges.,10,45.25,0
Tech support was very helpful when I needed assistance.,1,20.05,0
Flexible contracts that fit my lifestyle.,65,69.55,0
Enjoying affordable rates and stable monthly charges.,57,19.5,0
Tenure discounts made staying with this provider easy.,3,74.75,0
Frequent contract changes without notice.,2,69.65,1
The tech support team is quick and professional.,49,30.2,0
Dependents face frequent network drops.,4,45.65,1
Billing is seamless with paperless billing.,70,57.8,0
Great experience with minimal downtime.,53,19.85,0
Good monthly rates and easy-to-understand billing.,53,25.55,0
Contract terms feel rigid and hard to adjust.,1,75.05,1
Dependents find the network reliable and fast.,22,24.85,0
Monthly charges are inconsistent and unpredictable.,52,49.15,1
The partner-friendly plans fit our budget well.,65,110.35,0
The tech support team is quick and professional.,48,24.55,0
Monthly charges are inconsistent and unpredictable.,2,34.7,1
Stable and affordable service throughout my tenure.,3,107.95,0
The tech support team is quick and professional.,45,81.4,0
Issues with online security features persisting.,1,80.0,1
Tenure discounts made staying with this provider easy.,61,73.8,0
Flexible contracts that fit my lifestyle.,3,64.4,0
Tech support was very helpful when I needed assistance.,40,103.75,0
Tenure discounts make the service worth it.,1,71.1,0
Dependents also use the service with no issues.,1,49.9,0
Happy with the consistent service over the years.,51,24.6,0
Partnered plan does not seem cost-effective anymore.,2,49.25,1
"Helpful tech support, available when needed.",52,30.1,0
Online security is a great added feature.,51,83.4,0
Online security is a great added feature.,1,20.45,0
Great service with no interruptions during my tenure.,31,75.25,0
Happy with the package offered for my household.,47,20.55,0
Monthly charges feel high for the service provided.,3,75.1,1
The partner-friendly plans fit our budget well.,22,20.05,0
Tenure discounts made staying with this provider easy.,1,20.65,0
Enjoying affordable rates and stable monthly charges.,72,85.15,0
Dependents face frequent network drops.,3,50.15,1
Dependents find the network reliable and fast.,47,84.95,0
Online security features meet my needs well.,72,66.5,0
Online security features meet my needs well.,66,63.3,0
Stable and affordable service throughout my tenure.,35,83.15,0
Partnered plan has been cost-effective and reliable.,29,84.9,0
"Helpful tech support, available when needed.",2,20.55,0
Partnered plan has been cost-effective and reliable.,4,49.25,0
Tech support rarely resolves issues promptly.,25,79.85,1
Online security features keep my data safe.,65,59.6,0
Tenure discounts make the service worth it.,27,104.65,0
Monthly charges are reasonable for the service.,29,75.3,0
Online security features have given me peace of mind.,29,80.1,0
Dependents report frequent service interruptions.,1,19.55,1
Good monthly rates and easy-to-understand billing.,20,81.0,0
Enjoying affordable rates and stable monthly charges.,58,24.7,0
Tech support was very helpful when I needed assistance.,14,86.0,0
Enjoying affordable rates and stable monthly charges.,72,25.4,0
Enjoying affordable rates and stable monthly charges.,46,89.15,0
Happy with the package offered for my household.,71,58.25,0
Clear billing process with no surprise charges.,32,85.65,0
Great experience with minimal downtime.,26,50.35,0
Satisfied with the support offered by tech specialists.,68,80.35,0
Billing is seamless with paperless billing.,2,20.2,0
Happy with the package offered for my household.,61,20.55,0
Frequent network issues during peak usage.,4,85.95,1
Online security seems inadequate compared to others.,3,45.35,1
Dependents face frequent network drops.,33,94.5,1
I appreciate the flexible contract options.,9,21.25,0
Flexible contract terms suit my needs perfectly.,22,26.25,0
Online security features meet my needs well.,5,80.85,0
Support team rarely resolves issues in one call.,30,91.7,1
The partner-friendly plans fit our budget well.,65,74.2,0
Paperless billing fails to capture accurate details.,45,87.25,1
Great service with no interruptions during my tenure.,5,20.35,0
The support team made the setup process smooth.,25,75.5,0
Monthly charges are reasonable for the service.,72,79.05,0
Great experience with minimal downtime.,27,90.15,0
The partner-friendly plans fit our budget well.,32,50.6,0
Online security is a great added feature.,30,110.45,0
Monthly charges are reasonable for the service.,70,101.0,0
Billing is seamless with paperless billing.,42,79.35,0
The support team made the setup process smooth.,72,89.85,0
Online security features meet my needs well.,47,65.0,0
The support team made the setup process smooth.,2,80.45,0
Dependents complain of frequent disconnections.,10,98.55,1
Smooth billing system with paperless convenience.,61,24.1,0
Online security features meet my needs well.,5,44.05,0
Stable and affordable service throughout my tenure.,72,110.8,0
Online security is a great added feature.,72,114.95,0
Stable and affordable service throughout my tenure.,3,75.05,0
Enjoying good service quality over the years.,48,19.25,0
Great service with no interruptions during my tenure.,63,90.05,0
Online security is a great added feature.,27,56.7,0
Happy with the package offered for my household.,70,80.15,0
Tenure discounts made staying with this provider easy.,7,71.35,0
Tenure discounts make the service worth it.,0,20.25,0
"Helpful tech support, available when needed.",2,90.35,0
Contract terms feel rigid and hard to adjust.,20,98.55,1
"Helpful tech support, available when needed.",66,19.7,0
Flexible contracts that fit my lifestyle.,3,19.85,0
Online security seems inadequate compared to others.,15,85.9,1
Enjoying affordable rates and stable monthly charges.,72,90.35,0
Partnered plan has been cost-effective and reliable.,1,20.8,0
Monthly charges feel high for the service provided.,22,89.25,1
